"help_topic"	"aliases"	"title"	"description"
"d1_dopamine.input_icu.t"	""	"多巴胺（入院第1天开始使用）"	"多巴胺（入院第1天开始使用）"
"d1_epinephrine.input_icu.t"	""	"肾上腺素（入院第1天开始使用）"	"肾上腺素（入院第1天开始使用）"
"d1_height_icu"	""	"height day 1"	"height day 1"
"d1_inflammation_icu"	""	"d1_inflammation_icu"	"d1_inflammation_icu"
"d1_lab_icu"	""	"住入icu第一天的实验室检查"	"住入icu第一天的实验室检查"
"d1_lods_icu"	""	"d1_lods_icu"	"d1_lods_icu"
"d1_meld_icu"	""	"d1_meld_icu"	"d1_meld_icu"
"d1_milrinone.input_icu.t"	""	"米力农（入院第1天开始使用）"	"米力农（入院第1天开始使用）"
"d1_neuroblock.input_icu.t"	""	"神经阻滞剂（入院第1天开始使用）"	"神经阻滞剂（入院第1天开始使用）"
"d1_norepinephrine.equivalent.dose.input_icu.t"	""	"去甲肾上腺素当量剂量（入院第1天开始使用）"	"去甲肾上腺素当量剂量（入院第1天开始使用）"
"d1_norepinephrine.input_icu.t"	""	"去甲肾上腺素（入院第1天开始使用）"	"去甲肾上腺素（入院第1天开始使用）"
"d1_nsaid.pre_hadm.t"	""	"nsaid（入院第1天开始使用）"	"nsaid（入院第1天开始使用）"
"d1_oasis_icu"	""	"d1_oasis_icu"	"d1_oasis_icu"
"d1_phenylephrine.input_icu.t"	""	"苯肾上腺素（入院第1天开始使用）"	"苯肾上腺素（入院第1天开始使用）"
"d1_rrt_icu"	""	"d1_rrt_icu"	"d1_rrt_icu"
"d1_saps2_icu"	""	"d1_saps2_icu"	"d1_saps2_icu"
"d1_sirs_icu"	""	"Systemic inflammatory response syndrome"	"Systemic inflammatory response syndrome"
"d1_sofa_icu"	""	"d1_sofa_icu"	"d1_sofa_icu"
"d1_urineoutput_icu"	""	"d1_urineoutput_icu"	"d1_urineoutput_icu"
"d1_vasoactive.agent.input_icu.t"	""	"血管活性药（入院第1天开始使用）"	"血管活性药（入院第1天开始使用）"
"d1_vasopressin.input_icu.t"	""	"加压素(入院第一天开始使用)"	"加压素(入院第一天开始使用)"
"d1_weight_icu"	""	"住入icu第1天的体重kg"	"住入icu第1天的体重kg"
"day1_icu"	""	"住入icu第1天"	"住入icu第1天"
"day2_icu"	""	"住入icu第2天"	"住入icu第2天"
"day3_icu"	""	"住入icu第3天"	"住入icu第3天"
"day4_icu"	""	"住入icu第4天"	"住入icu第4天"
"day5_icu"	""	"住入icu第5天"	"住入icu第5天"
"day6_icu"	""	"住入icu第6天"	"住入icu第6天"
"day7_icu"	""	"住入icu第7天"	"住入icu第7天"
"dayn_icu"	""	"住入icu的第n天"	"住入icu的第n天"
"db_DRG_d.hadm"	""	"drgcodes"	"drgcodes"
"db_admissions"	""	"admissions"	"admissions"
"db_chart.events_D.icu.t"	""	"chartevents"	"chartevents"
"db_datetime.events_D.icu.t"	""	"datetimeevents"	"datetimeevents"
"db_diagnoses_d.hadm"	""	"提取诊断数据"	"提取诊断数据"
"db_eMAR_D.hadm.t"	""	"emar"	"emar"
"db_eMAR_detail"	""	"emar_detail"	"emar_detail"
"db_hcpcs_d.hadm"	""	"hcpcsevents"	"hcpcsevents"
"db_icustays"	""	"icustays"	"icustays"
"db_ingredient.events_D.icu.t"	""	"ingredientevents"	"ingredientevents"
"db_input.events_D.icu.t"	""	"inputevents"	"inputevents"
"db_lab_D.subj.t"	""	"labevents"	"labevents"
"db_micro.Bacteria_subj.t"	""	"感染：细菌"	"感染：细菌"
"db_micro.Bloodcult.Positive_subj.t"	""	"感染：血培养的阳性结果"	"感染：血培养的阳性结果"
"db_micro.Fungus_subj.t"	""	"感染：真菌"	"感染：真菌"
"db_micro.K.pneu_subj.t"	""	"感染：肺炎克雷伯菌"	"感染：肺炎克雷伯菌"
"db_micro.MRSA_subj.t"	""	"感染：MRSA"	"感染：MRSA"
"db_microbiology_d.subj.t"	""	"microbiologyevents"	"microbiologyevents"
"db_omr_subj.t"	""	"提取omr"	"提取omr"
"db_output.events_d.icu.t"	""	"outputevents"	"outputevents"
"db_patients"	""	"patients"	"patients"
"db_pharmacy_D.hadm.t"	""	"pharmacy"	"pharmacy"
"db_poe.detail"	""	"poe detail"	"poe detail"
"db_poe_hadm.t"	""	"poe"	"poe"
"db_prescriptions_D.hadm.t"	""	"prescriptions"	"prescriptions"
"db_procedure.events_d.icu.t"	""	"procedureevents"	"procedureevents"
"db_procedures_d.hadm"	""	"提取操作/手术数据"	"提取操作/手术数据"
"db_procedures_d.hadm.t"	""	"提取操作/手术数据"	"提取操作/手术数据"
"db_services_hadm.t"	""	"services"	"services"
"db_transfers"	""	"transfers"	"transfers"
"death_discharge"	""	"icu病人的死亡(icu，普通病房，出院后)"	"icu病人的死亡(icu，普通病房，出院后)"
"death_hadm"	""	"icu病人的死亡（icu，普通病房）"	"icu病人的死亡（icu，普通病房）"
"death_hadm_nday"	""	"death_hadm_nday"	"death_hadm_nday"
"death_icu"	""	"icu病人的死亡(icu)"	"icu病人的死亡(icu)"
"death_icu_nday"	""	"death_icu_nday"	"death_icu_nday"
"death_subj"	""	"death_subj"	"death_subj"
"del_day"	""	"修改时间"	"修改时间"
"del_hour"	""	"修改时间"	"修改时间"
"del_minute"	""	"修改时间"	"修改时间"
"del_month"	""	"修改时间"	"修改时间"
"del_second"	""	"修改时间"	"修改时间"
"del_week"	""	"修改时间"	"修改时间"
"del_year"	""	"修改时间"	"修改时间"
"dex_Braden_icu.t"	""	"dex_Braden_icu.t"	"dex_Braden_icu.t"
"dex_GCS_icu.t"	""	"GCS评分"	"GCS评分"
"dex_MELD_icu"	""	"MELD"	"MELD"
"dex_charlson_hadm"	""	"Charlson共病指数"	"Charlson共病指数"
"dex_eGFR"	""	"eGFR"	"eGFR"
"dex_sepis3_icu"	""	"脓毒症人群，没有非脓毒症的人"	"The diagnosis of sepsis was in accordance with Sepsis-3.0, with specific criteria of sequential organ failure assessment (SOFA) score ≥2 and infection or suspected infection 参考文献doi:10.1001/jama.2016.0287"
"dex_sofa_icu.t"	""	"dex_sofa_icu.t"	"dex_sofa_icu.t"
"diag_AIDS.HIV_hadm"	""	"AIDS"	"ICD9: start with 042, 043, 044 ICD10: start with B20, B21, B22, B24"
"diag_AKI.kdigo_icu"	""	"diag_AKI.kdigo_icu"	"diag_AKI.kdigo_icu"
"diag_AKI.kdigo_icu.t"	""	"diag_AKI.kdigo_icu.t"	"diag_AKI.kdigo_icu.t"
"diag_ARDS_hadm"	""	"ARDS"	"ARDS"
"diag_CKD_hadm"	""	"CKD"	"CKD"
"diag_Cerebrovascular.disease_hadm"	""	"Cerebrovascular.disease"	"ICD9: start with 36234 ICD9: bwtween 430 and 438 ICD10: start with G45, G46, H340 ICD10: bwtween I60 and I69"
"diag_Chronic.pulmonary.disease_hadm"	""	"Chronic.pulmonary.disease"	"ICD9: start with 36234 ICD9: bwtween 430 and 438 ICD10: start with G45, G46, H340 ICD10: bwtween I60 and I69"
"diag_Congestive.heart.failure_hadm"	""	"Congestive heart failure"	"ICD9以428,39891, 40201, 40211, 40291, 40401, 40403, 40411, 40413, 40491, 40493开头，从4254到4259 ICD10以I43, I50, I099, I110, I130, I132, I255, I420, I425, I426, I427, I428, I429, P290开头"
"diag_Dementia_hadm"	""	"Dementia"	"ICD9: start with 290,2941, 3312 ICD10: start with F00, F01, F02, F03, G30,F051, G311"
"diag_Diabetes.with.chronic.complication_hadm"	""	"Diabetes.with.chronic.complication"	"ICD9: start with 2504, 2505, 2506, 2507 ICD10: start with E102, E103, E104, E105, E107, E112, E113, E114, E115, E117, E122, E123, E124, E125, E127, E132, E133, E134, E135, E137, E142, E143, E144, E145, E147"
"diag_Diabetes.without.chronic.complication_hadm"	""	"Diabetes.without.chronic.complication"	"ICD9: start with 2500, 2501, 2502, 2503, 2508, 2509 ICD10: start with E100, E101, E106, E108, E109, E110, E111, E116, E118, E119, E120, E121, E126, E128, E129, E130, E131, E136, E138, E139, E140, E141, E146, E148, E149"
"diag_Hemiplegia.paraplegia_hadm"	""	"Hemiplegia.paraplegia"	"ICD9: start with 342, 343,3341, 3440, 3441, 3442, 3443, 3444, 3445, 3446, 3449 ICD10: start with G81, G82,G041, G114, G801, G802, G830, G831, G832, G833, G834, G839"
"diag_Hypertension_hadm"	""	"Hypertension"	"链接:高血压.xlsx"
"diag_Metastatic.solid.tumor_hadm"	""	"Metastatic.solid.tumor"	"ICD9: start with 196, 197, 198, 199 ICD10: start with C77, C78, C79, C80"
"diag_Mild.liver.disease_hadm"	""	"Mild.liver.disease"	"ICD9: start with 570, 571,0706, 0709, 5733, 5734, 5738, 5739, V427,07022, 07023, 07032, 07033, 07044, 07054 ICD10: start with B18, K73, K74,K700, K701, K702, K703, K709, K713, K714, K715, K717, K760, K762, K763, K764, K768, K769, Z944"
"diag_Moderate.severe.liver.disease_hadm"	""	"Moderate.severe.liver.disease"	"ICD9: start with 4560, 4561, 4562 ICD9: bwtween 5722 and 5728 ICD10: start with I850, I859, I864, I982, K704, K711, K721, K729, K765, K766, K767"
"diag_Myocardial.infarction_hadm"	""	"Myocardial infarction"	"ICD9以410,412开头，ICD10以I21,I22,I252开头"
"diag_Peptic.ulcer.disease_hadm"	""	"Peptic.ulcer.disease"	"ICD9: start with 531, 532, 533, 534 ICD10: start with K25, K26, K27, K28"
"diag_Peripheral.vascular.disease_hadm"	""	"Peripheral.vascular.disease"	"ICD9: start with 440, 441,0930, 4373, 4471, 5571, 5579, V434 ICD9: bwtween 4431 and 4439 ICD10: start with I70, I71,I731, I738, I739, I771, I790, I792, K551, K558, K559, Z958, Z959"
"diag_Renal.disease_hadm"	""	"Renal.disease"	"ICD9: start with 582, 585, 586, V56, 5880, V420, V451, 40301, 40311, 40391, 40402, 40403, 40412, 40413, 40492, 40493 ICD9: bwtween 5830 and 5837 ICD10: start with N18, N19, I120, I131, N032, N033, N034, N035, N036, N037, N052, N053, N054, N055, N056, N057, N250, Z490, Z491, Z492, Z940, Z992"
"diag_Rheumatic.disease_hadm"	""	"Rheumatic.disease"	"ICD9: start with 725, 4465, 7100, 7101, 7102, 7103, 7104, 7140, 7141, 7142, 7148 ICD10: start with M05, M06, M32, M33, M34,M315, M351, M353, M360"
"diag_TIA_hadm"	""	"diag_TIA_hadm"	"ICD9: 4358,4359"
"diag_diabetes_hadm"	""	"diabetes"	"diabetes"
"diag_ischemic.stroke_hadm"	""	"diag_stroke_hadm"	"ICD9: 43301,43311,43321,43331,43381,43391,43401,43411 ICD10: I63"
"diag_malignancy_hadm"	""	"malignancy"	"Any malignancy, including lymphoma , leukemia, except malignant neoplasm of skin. ICD9: start with 2386 ICD9: start with bwtween 140 and 172 ICD9: start with bwtween 1740 and 1958 ICD9: start with bwtween 200 and 208 ICD10: start with C43, C88 ICD10: start with bwtween C00 and C26 ICD10: start with bwtween C30 and C34 ICD10: start with bwtween C37 and C41 ICD10: start with bwtween C45 and C58 ICD10: start with bwtween C60 and C76 ICD10: start with bwtween C81 and C85 ICD10: start with bwtween C90 and C97"
"diag_suspicion.of.infection_hadm"	""	"suspicion.of.infection"	"每一行是一个住院病人使用的抗生素"
"dics"	""	"mimic数据库查询词典"	"mimic数据库查询词典"
"dp_cardiac.surgery_hadm"	""	"cardiac.surgery"	"cardiac.surgery"
"drop_col"	""	"删除列"	"删除列"
"drop_row"	""	"选择行"	"选择行"
"drop_row2"	""	"创建剔除行"	"创建剔除行"
"drug_Diuretic.loop.pre_hadm.t"	""	"袢利尿剂prescriptions"	"袢利尿剂prescriptions"
"drug_Diuretic.potassium.sparing.pre_hadm.t"	""	"袢利尿剂prescriptions"	"袢利尿剂prescriptions"
"drug_Diuretic.pre_hadm.t"	""	"利尿剂prescriptions"	"利尿剂prescriptions"
"drug_Diuretic.thiazide.pre_hadm.t"	""	"噻嗪类利尿剂prescriptions"	"噻嗪类利尿剂prescriptions"
"drug_acei.arb.pre_hadm.t"	""	"acei or arb"	"acei or arb"
"drug_acei.pre_hadm"	""	"drug_acei.pre_hadm"	"drug_acei.pre_hadm"
"drug_acei.pre_hadm.t"	""	"acei"	"acei"
"drug_antibiotic.pre_hadm"	""	"drug_antibiotic.pre_hadm"	"drug_antibiotic.pre_hadm"
"drug_antibiotic.pre_hadm.t"	""	"抗生素"	"抗生素"
"drug_antifungal.pre_hadm"	""	"drug_antifungal.pre_hadm"	"drug_antifungal.pre_hadm"
"drug_antifungal.pre_hadm.t"	""	"prescriptions"	"prescriptions"
"drug_arb.pre_hadm.t"	""	"arb"	"arb"
"drug_dobutamine.input_icu.t"	""	"多巴酚丁胺"	"多巴酚丁胺"
"drug_dopamine.input_icu.t"	""	"多巴胺"	"多巴胺"
"drug_epinephrine.input_icu.t"	""	"肾上腺素"	"肾上腺素"
"drug_milrinone.input_icu.t"	""	"米力农"	"米力农"
"drug_neuroblock.input_icu.t"	""	"神经阻滞剂"	"神经阻滞剂"
"drug_norepinephrine.equivalent.dose.input_icu.t"	""	"去甲肾上腺素当量剂量"	"去甲肾上腺素当量剂量"
"drug_norepinephrine.input_icu.t"	""	"去甲肾上腺素"	"去甲肾上腺素"
"drug_nsaid.pre_hadm.t"	""	"nsaid"	"nsaid"
"drug_phenylephrine.input_icu.t"	""	"苯肾上腺素"	"苯肾上腺素"
"drug_ssTime_hadm"	""	"根据入院时间判断药物的使用情况"	"根据入院时间判断药物的使用情况"
"drug_ssTime_icu"	""	"根据入icu时间判断药物的使用情况"	"根据入icu时间判断药物的使用情况"
"drug_vasoactive.agent.input_icu.t"	""	"血管活性药"	"血管活性药"
"drug_vasopressin.input_icu.t"	""	"加压素"	"加压素"
"dt_LVEF_hadm"	""	"dt_LVEF_hadm"	"dt_LVEF_hadm"
"dt_VitalSign_icu.t"	""	"ICU住院期间，每个时间点的提取生命体征"	"体温、脉搏、呼吸、血压、氧饱和度"
"dt_age_hadm"	""	"dt_age"	"dt_age"
"dt_blood.differential_subj.t"	""	"白细胞分类"	"细胞的绝对计数的单位是k/ul，等于10^9/L"
"dt_blood.gas_subj.t"	""	"血气分析"	"血气分析"
"dt_cardiac.marker_subj.t"	""	"心脏标志物"	"心脏标志物"
"dt_chemistry_subj.t"	""	"血生化"	"血生化"
"dt_coagulation_subj.t"	""	"凝血功能"	"凝血功能"
"dt_complete.blood.count_subj.t"	""	"全血细胞计数"	"全血细胞计数"
"dt_creatinine.baseline_hadm"	""	"成年患者每次住院期血清肌酐（serum creatinine）基线值"	"成年患者每次住院期血清肌酐（serum creatinine）基线值"
"dt_crrt_icu.t"	""	"dt_crrt_icu.t"	"dt_crrt_icu.t"
"dt_enzyme_subj.t"	""	"酶学检测"	"酶学检测"
"dt_heart.rhythm_icu"	""	"ICU住院病人的心率"	"ICU住院病人的心率"
"dt_height_icu"	""	"ICU住院期间，每个时间的身高"	"ICU住院期间，每个时间的身高"
"dt_icp_icu.t"	""	"颅内压"	"颅内压"
"dt_icustay.times"	""	"根据心率计算在icu出入时间"	"根据心率计算在icu出入时间"
"dt_icustays.detail"	""	"icu详细信息（每行一个icu）"	"记录了3方面的信息 病人信息：gender, admission_age, race, dod 住院信息：admittime, dischtime, los_hospital_day, hospital_expire_flag, hospstay_seq, first_hosp_stay icu信息：icu_intime, icu_outtime, los_icu_day, icustay_seq, first_icu_stay"
"dt_icustays.hourly"	""	"icustay hourly -- This query generates a row for every hour the patient is in the ICU. -- The hours are based on clock-hours (i.e. 02:00, 03:00). -- The hour clock starts 24 hours before the first heart rate measurement. -- Note that the time of the first heart rate measurement is ceilinged to the hour."	"icustay hourly -- This query generates a row for every hour the patient is in the ICU. -- The hours are based on clock-hours (i.e. 02:00, 03:00). -- The hour clock starts 24 hours before the first heart rate measurement. -- Note that the time of the first heart rate measurement is ceilinged to the hour."
"dt_inflammation_subj.t"	""	"炎症指标"	"炎症指标"
"dt_invasive.line_icu.t"	""	"dt_invasive.line_icu.t"	"dt_invasive.line_icu.t"
"dt_oxygen.delivery_icu.t"	""	"供氧数据"	"供氧数据"
"dt_rrt_icu"	""	"dt_rrt_icu"	"dt_rrt_icu"
"dt_rrt_icu.t"	""	"dt_rrt_icu.t"	"dt_rrt_icu.t"
"dt_urine.output.rate_icu.t"	""	"排尿率"	"排尿率"
"dt_urine.output_icu.t"	""	"icu病人的尿量"	"icu病人的尿量"
"dt_ventilation_icu"	""	"dt_ventilation_icu"	"dt_ventilation_icu"
"dt_ventilation_icu.t"	""	"ventilation"	"ventilation"
"dt_ventilator.setting_icu.t"	""	"呼吸机设置参数"	"呼吸机设置参数"
"dt_weight.durations_icu.t"	""	"icu住院期间，不同时间的体重"	"this query extracts weights for icu adult patients with start/stop times"
"dup_id"	""	"id列重复的数值"	"id列重复的数值"
"dup_subj_charttime"	""	"subject和charttime是否重复"	"subject和charttime是否重复"
"fl_jn"	""	"全合并"	"全合并"
"forestplot"	""	"森林图"	"森林图"
"forestplot.stratum_model_1"	""	"森林图"	"森林图"
"forestplot.stratum_model_2"	""	"森林图"	"森林图"
"ft"	""	"修复file wt, RTemp等问题"	"修复file wt, RTemp等问题"
"getChangepoints"	""	"getChangepoints"	"getChangepoints"
"get_path"	""	"path of mimic"	"path of mimic"
"grapes-equals-grapes"	""	"exact match"	"exact match"
"group_cal"	""	"分组计算"	"分组计算"
"icd_xlsx_diag"	""	"创建icd的excel表格"	"创建icd的excel表格"
"icd_xlsx_procedures"	""	"创建icd的excel表格"	"创建icd的excel表格"
"importFrom"	""	"importFrom"	"importFrom"
"in_jn"	""	"内合并"	"内合并"
"inset_exact_match"	""	"inset_exact_match"	"inset_exact_match"
"km_plot"	""	"km曲线"	"km曲线"
"labtest_days.seq_icu"	""	"入icu后第1、2、3、4等天的测量"	"入icu后第1、2、3、4等天的测量"
"labtest_times.seq_icu"	""	"入icu后第几次测量实验室值"	"入icu后第几次测量实验室值"
"lag_before"	""	"lag"	"lag"
"lf_jn"	""	"左合并"	"左合并"
"lookl"	""	"match"	"match"
"mice2"	""	"使用mice包来处理缺失值"	"参考文献doi:10.18637/jss.v045.i03"
"mimic_join_left"	""	"left join for mimic data"	"left join for mimic data"
"mimic_start"	""	"start study"	"start study"
"missForest2"	""	"使用missForest包处理缺失值"	"参考文献PMID: 22039212"
"missValue"	""	"查看数据的缺失值"	"查看数据的缺失值"
"missvalue_knn"	""	"使用missForest包处理缺失值"	"参考文献PMID: 22039212"
"missvalue_mice"	""	"使用mice包来处理缺失值"	"参考文献doi:10.18637/jss.v045.i03"
"missvalue_missForest"	""	"使用missForest包处理缺失值"	"参考文献PMID: 22039212"
"newVb"	""	"建立新变量"	"建立新变量"
"optimal_nKnots"	""	"optimal Knot for rcs() function"	"optimal Knot for rcs() function"
"p4trend"	""	"p for trend"	"p for trend"
"print.stratum_model"	""	"print"	"print"
"quant"	""	"把连续变量变成Q1Q2Q3Q4这种分类变量"	"把连续变量变成Q1Q2Q3Q4这种分类变量"
"quant.median"	""	"median of quantile"	"median of quantile"
"rank_dense"	""	"rank by dense"	"rank by dense"
"rcs_plot1.1"	""	"y轴为lp"	"y轴为lp"
"rcs_plot1.2"	""	"y轴为lp"	"y轴为lp"
"rcs_plot1.3"	""	"y轴为lp"	"y轴为lp"
"rcs_plot2.1"	""	"y轴为事件发生的lp，hist"	"y轴为事件发生的lp，hist"
"rcs_plot2.2"	""	"y轴为事件发生的lp，hist"	"y轴为事件发生的lp，hist"
"rcs_plot2.3"	""	"y轴为事件发生的lp，hist"	"y轴为事件发生的lp，hist"
"rcs_plot3.1"	""	"y轴为事件发生的lp，hist"	"y轴为事件发生的lp，hist"
"rcs_plot3.2"	""	"y轴为事件发生的lp，hist"	"y轴为事件发生的lp，hist"
"rcs_plot3.3"	""	"y轴为事件发生的lp，hist"	"y轴为事件发生的lp，hist"
"rcs_plot4.1"	""	"y轴为事件发生的lp，density"	"y轴为事件发生的lp，density"
"rcs_plot4.2"	""	"y轴为事件发生的lp，density"	"y轴为事件发生的lp，density"
"rcs_plot4.3"	""	"y轴为事件发生的lp，density"	"y轴为事件发生的lp，density"
"rcs_plot5.1"	""	"y轴为事件发生的lp，density"	"y轴为事件发生的lp，density"
"rcs_plot5.2"	""	"y轴为事件发生的lp，density"	"y轴为事件发生的lp，density"
"rcs_plot5.3"	""	"y轴为事件发生的lp，density"	"y轴为事件发生的lp，density"
"reg_table"	""	"查看回归结果"	"查看回归结果"
"ri_jn"	""	"右合并"	"右合并"
"row.counts"	""	"row count"	"row count"
"row.max"	""	"row max for dataframe"	"row max for dataframe"
"row.means"	""	"row mean"	"row mean"
"row.min"	""	"row min for dataframe"	"row min for dataframe"
"row.sums"	""	"row sum"	"row sum"
"search_fn"	""	"搜索包中的函数"	"搜索包中的函数"
"select_col"	""	"选择列"	"选择列"
"select_icud1"	""	"第一次住进icu的stay_id"	"第一次住进icu的stay_id"
"select_row"	""	"选择行"	"选择行"
"select_row2"	""	"创建选择行"	"创建选择行"
"set_ref"	""	"set adjustment value"	"set adjustment value"
"stratum_model"	""	"建立分层模型"	"一、分层模型的目的是看x对y的影响，在不同的人群中是否有差异，例如x在男性中对y没有影响，但是在女性中对y有影响。 二、建立何种模型取决于y和time 如果y和time都有赋值，那么就采用cox回归 如果y是二分类(1和0)，没有time，那么就是logistic回归 如果y是连续变量，没有time，就是线性回归 三、是否加权取决于object 如果object=d，那就是非加权的回归 如果object=nhs，那就是加权的回归 四、同一个变量不能既分层，又同时调整，如果这个变量分层了，就不在调整。 比如，按照性别分层，那么在男性层中，大家都是男性，就没有必要再调整了。 也就是说，当一个变量参与了分层，那么在这个时候，就不会再参与调整，但是不影响其他的场合。"
"table_1"	""	"创建描述表格"	"当设置by进行分组的时候，会自动进行基线标的比较，比较方法： 连续变量、正态分布：2组：t test，≥3组：one way anova 连续变量、非正态分布：2组：Mann-Whitney U test，≥3组：Kruskal-Wallis Rank Sum Test 分类变量：chi-squared test"
"timediff_day"	""	"timediff"	"timediff"
"timediff_hour"	""	"timediff"	"timediff"
"timediff_minute"	""	"timediff"	"timediff"
"timediff_second"	""	"timediff"	"timediff"
"timediff_years"	""	"timediff"	"timediff"
"times_icu"	""	"住入icu的第n天"	"住入icu的第n天"
"to_numeric-set"	""	"Convert to numeric"	"Convert to numeric"
"to_numeric"	""	"Convert to numeric"	"Convert to numeric"
"trac_align"	""	"测试次数对齐"	"测试次数对齐"
"trac_hlme"	""	"使用hlme进行轨迹分析"	"使用hlme进行轨迹分析"
"trac_lcmm"	""	"使用lcmm进行轨迹分析"	"使用lcmm进行轨迹分析"
"trac_ng"	""	"保存ng"	"保存ng"
"trac_radar"	""	"轨迹分析后选择类别数"	"根据排序标准化后的结果和按照大小排序的结果，来选择"
"trac_radar.ly"	""	"轨迹分析后选择类别数"	"轨迹分析后选择类别数"
"trac_ridges"	""	"轨迹分析山峦图"	"轨迹分析山峦图"
"trac_table"	""	"轨迹分析的结果"	"轨迹分析的结果"
"tract_class"	""	"轨迹分析最终分类"	"轨迹分析最终分类"
"tract_plot"	""	"轨迹分析类别画图"	"轨迹分析类别画图"
"uv_cox"	""	"univariable cox for svydata"	"univariable cox for svydata"
"uv_logit"	""	"univariable logistic for svydata"	"univariable logistic for svydata"
"uv_ols"	""	"单因素线性回归"	"单因素线性回归"
"window_row_max"	""	"window row max"	"window row max"
"xlsx_prescriptions"	""	"创建prescriptions词典文件"	"创建prescriptions词典文件"
